"model_id","location","Energy Score","Brier Score Point","Brier Score Dist","Interval Coverage 50","Interval Coverage 90","n"
"UMass-HMLR","GA",0.697222156953053,0.369658174997901,0.397194606989349,0.928955866523143,0.986006458557589,436
"UMass-HMLR","HI",NA,NA,NA,1,1,0
"UMass-HMLR","IA",0.751839047316463,0.262310697546535,0.273773476239345,0.856314699792961,0.950310559006211,757
"UMass-HMLR","ID",0.0966863045385406,0.0802465989482226,0.103801864375746,1,1,6
"UMass-HMLR","IL",1.05878211117234,0.246592107906027,0.253420447752021,0.472027972027972,0.781031468531469,2105
"UMass-HMLR","IN",0.544168921510232,0.34140288632904,0.359726020127245,0.98120028922632,0.994215473608098,140
"UMass-HMLR","KS",0.602130404641927,0.433297536715694,0.467597161722141,0.99063670411985,0.995786516853933,34
"UMass-HMLR","KY",0.345200383202995,0.229695357003174,0.250101181612709,0.998028391167192,0.999211356466877,26
"UMass-HMLR","LA",1.07985082733426,0.367109804736214,0.381745315631055,0.79366852886406,0.924767225325885,837
"UMass-HMLR","MA",0.746633541904762,0.295070532987151,0.308254780288668,0.821876186859096,0.935055070262058,945
"UMass-HMLR","MD",0.882543311273443,0.2692396896656,0.277067748043746,0.598675496688742,0.853421633554084,1695
"UMass-HMLR","ME",NA,NA,NA,1,1,0
"UMass-HMLR","MI",0.899811746960655,0.28667887564626,0.296707486744326,0.607170099160946,0.844774980930587,1902
"UMass-HMLR","MN",2.00836064925388,0.298842631514025,0.306563615296809,0.285776805251641,0.69890590809628,2243
"UMass-HMLR","MO",0.485972016995767,0.297853601110938,0.32007838816211,0.959183673469388,0.983827493261456,273
"UMass-HMLR","MS",0.536858564522081,0.366589060930535,0.383957013277266,0.989126213592233,0.995728155339806,59
"UMass-HMLR","MT",0.612636455208929,0.390306998735733,0.435007082080039,0.980068060281964,0.992707826932426,82
"UMass-HMLR","NC",0.800455722237559,0.370498739842977,0.384617889053647,0.878457343202181,0.962991819244254,535
"UMass-HMLR","ND",0.409660448739205,0.276731481679283,0.304432857986885,0.967181467181467,0.993050193050193,229
"UMass-HMLR","NE",0.289195120498964,0.207540633351122,0.225984575147328,0.998477929984779,1,12
"UMass-HMLR","NH",0.620318773209987,0.322328910774649,0.339252708892543,0.960661764705882,0.989705882352941,270
"UMass-HMLR","NJ",1.40987835052778,0.271924830741566,0.277681903875216,0.500436681222707,0.76943231441048,1936
"UMass-HMLR","NM",1.08774593129361,0.31747712725115,0.331667649622208,0.591800356506239,0.84349376114082,1981
"UMass-HMLR","NV",0.715538407422722,0.322805420173397,0.35248410793238,0.984842743463433,0.99545282303903,72
"UMass-HMLR","NY",2.86831935919462,0.328269218831189,0.333088334179153,0.451708766716196,0.650321941555225,1419
"UMass-HMLR","OH",0.646820037103068,0.361075393314613,0.377531116273078,0.934932751726645,0.973827699018539,413
"UMass-HMLR","OK",0.487016383344377,0.283319555389686,0.31631251828625,0.958632334318278,0.995778809624314,259
"UMass-HMLR","OR",0.755685074747334,0.29819406364366,0.313397053522562,0.6508369015181,0.884390813546127,1765
"UMass-HMLR","PA",1.20106970033793,0.322979804194166,0.332199251995437,0.76461038961039,0.91599025974026,833
"UMass-HMLR","PR",0.943909650309827,0.300297710170745,0.312472711774849,0.684696016771489,0.883438155136268,1397
"UMass-HMLR","RI",0.571551003033267,0.254862954792164,0.276756725507474,0.914639743001377,0.971087654887563,525
"UMass-HMLR","SC",0.707332054044578,0.304847072620411,0.317483545457611,0.929530201342282,0.967561521252796,511
"UMass-HMLR","SD",0.722134549062206,0.312406538927954,0.328067190558528,0.813782991202346,0.957478005865103,1047
"UMass-HMLR","TN",0.740785640174765,0.309351407381027,0.32710889885547,0.884949348769899,0.968523878437048,596
"UMass-HMLR","TX",0.662490940926077,0.327413448287594,0.345654787850239,0.859516070783676,0.961357890935356,790
"UMass-HMLR","UT",0.817398362248783,0.255883903194572,0.274457541774928,0.819209039548023,0.92391713747646,1128
"UMass-HMLR","VA",1.2041613827016,0.355123730425913,0.366530200362165,0.656728778467909,0.850103519668737,1228
"UMass-HMLR","VT",0.745001014614714,0.342829983900577,0.35654618609812,0.768853695324284,0.925716440422323,1245
"UMass-HMLR","WA",1.10151605770528,0.378454952180054,0.387851284895149,0.801611665387567,0.889485801995395,850
"UMass-HMLR","WI",0.719826709421265,0.356132391676917,0.373135324106892,0.953736654804271,0.98576512455516,297
"UMass-HMLR","WV",0.648824602068396,0.402527578219502,0.434830965889645,0.985668219276245,0.99355069867431,83
"UMass-HMLR","WY",0.020913828525382,0.0122252911365626,0.0257015078007117,1,1,6
"UMass-PyHMLR","AK",0.195219185515325,0.123598919326694,0.129695360825063,0.981481481481482,0.981481481481482,58
"UMass-PyHMLR","AL",NA,NA,NA,1,1,0
"UMass-PyHMLR","AR",0.0277907153803102,0.0189810089297077,0.0226647292328865,1,1,6
"UMass-PyHMLR","AZ",0.275438958211877,0.0973747558596075,0.102385589400049,0.863247863247863,0.925925925925926,265
"UMass-PyHMLR","CA",1.10177966244166,0.187395951653977,0.18789812114128,0.374622356495468,0.540785498489426,331
"UMass-PyHMLR","CO",2.14820803116159,0.204760103445555,0.205584764001819,0.117302052785924,0.284457478005865,340
"UMass-PyHMLR","CT",0.611985567241017,0.163865311128174,0.1789004610543,0.73015873015873,0.928571428571429,282
"UMass-PyHMLR","DC",0.0725423191460923,0.0367906724285079,0.03995757905092,1,1,28
"UMass-PyHMLR","DE",0.514163131149952,0.150885913846496,0.162374336127303,0.933862433862434,0.94973544973545,81
"UMass-PyHMLR","FL",0.324184398934245,0.210893102951911,0.218146740121879,0.947802197802198,0.989010989010989,68
"UMass-PyHMLR","GA",0.144717200406509,0.0665259158394177,0.104709036761568,1,1,10
